max_len,stride,exact_match,f1
128,64,84.74929044465468,91.90883837251653
128,128,84.37086092715232,91.57562573212671
128,64,84.74929044465468,91.90883837251653
128,128,84.37086092715232,91.57562573212671
128,192,81.30558183538317,88.41597122264466
128,256,80.82308420056765,87.92643179138712
128,320,80.65279091769158,87.74103182812411
256,64,85.9508041627247,92.97117979872712
256,128,85.94134342478714,92.96682629981353
256,192,85.91296121097446,92.93321815456869
256,256,85.91296121097446,92.94298811344105
256,320,85.77105014191108,92.78603927962256
320,64,85.88457899716178,92.90927350747445
320,128,85.9035004730369,92.94350414735233
320,192,85.89403973509934,92.93993742867208
320,256,85.88457899716178,92.9349143979868
320,320,85.87511825922422,92.92003192946194
384,64,85.9035004730369,92.93689871675207
384,128,85.91296121097446,92.93915008784772
384,192,85.9035004730369,92.94939816660964
384,256,85.89403973509934,92.94237786902643
384,320,85.9035004730369,92.94568912730458
512,64,85.9035004730369,92.95012922363208
512,128,85.9035004730369,92.95012922363208
512,192,85.9035004730369,92.95012922363208
512,256,85.9035004730369,92.95012922363208
512,320,85.9035004730369,92.95012922363208
